[08-Aug-2015 09:33:06 Asia/Bangkok] PHP Parse error:  syntax error, unexpected 'PushHidden' (T_STRING) in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\view\frm-index.php on line 43
[08-Aug-2015 11:08:48 Asia/Bangkok] PHP Warning:  include(../../../../../inc_header.php): failed to open stream: No such file or directory in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\view\frm-index.php on line 2
[08-Aug-2015 11:08:48 Asia/Bangkok] PHP Warning:  include(): Failed opening '../../../../../inc_header.php' for inclusion (include_path='.;C:\xampp_new\php\PEAR') in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\view\frm-index.php on line 2
[08-Aug-2015 11:09:01 Asia/Bangkok] PHP Warning:  include(../../../../inc_header.php): failed to open stream: No such file or directory in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\view\frm-index.php on line 2
[08-Aug-2015 11:09:01 Asia/Bangkok] PHP Warning:  include(): Failed opening '../../../../inc_header.php' for inclusion (include_path='.;C:\xampp_new\php\PEAR') in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\view\frm-index.php on line 2
[08-Aug-2015 11:21:22 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 47
[08-Aug-2015 11:21:24 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 47
[08-Aug-2015 11:21:25 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 47
[08-Aug-2015 11:21:26 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 47
[08-Aug-2015 11:21:27 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 47
[08-Aug-2015 11:22:37 Asia/Bangkok] PHP Parse error:  syntax error, unexpected ';' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 48
[08-Aug-2015 11:23:31 Asia/Bangkok] PHP Fatal error:  Call to a member function record() on null in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 48
[08-Aug-2015 11:24:38 Asia/Bangkok] PHP Fatal error:  Call to a member function record() on null in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 47
[08-Aug-2015 11:37:19 Asia/Bangkok] PHP Fatal error:  Call to a member function record() on null in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 48
[08-Aug-2015 11:39:57 Asia/Bangkok] PHP Fatal error:  Call to a member function result() on null in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 51
[08-Aug-2015 11:40:45 Asia/Bangkok] PHP Fatal error:  Call to a member function countRow() on null in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 51
[08-Aug-2015 11:50:32 Asia/Bangkok] PHP Warning:  copy(../../../gallery/images/08082015-11:50:3218824_470851966406751_189786064531090272_n.jpg): failed to open stream: Invalid argument in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 51
[08-Aug-2015 11:50:55 Asia/Bangkok] PHP Warning:  copy(../../../gallery/images/08082015-11:50:5518824_470851966406751_189786064531090272_n.jpg): failed to open stream: Invalid argument in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 51
[08-Aug-2015 11:57:30 Asia/Bangkok] PHP Warning:  copy(../../gallery/images/08082015-11:57:3018824_470851966406751_189786064531090272_n.jpg): failed to open stream: Invalid argument in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 50
[08-Aug-2015 11:58:38 Asia/Bangkok] PHP Warning:  copy(18824_470851966406751_189786064531090272_n.jpg): failed to open stream: No such file or directory in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 50
[08-Aug-2015 11:59:37 Asia/Bangkok] PHP Warning:  copy(18824_470851966406751_189786064531090272_n.jpg): failed to open stream: No such file or directory in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 50
[08-Aug-2015 12:00:34 Asia/Bangkok] PHP Warning:  copy(18824_470851966406751_189786064531090272_n.jpg): failed to open stream: No such file or directory in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\deposit\ck.class.php on line 50
[08-Aug-2015 13:13:59 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2886
[08-Aug-2015 13:13:59 Asia/Bangkok] PHP Warning:  preg_match(): Compilation failed: invalid range in character class at offset 7 in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\ck.plugin\libraries\class.upload.php on line 2904
[08-Aug-2015 14:17:05 Asia/Bangkok] PHP Parse error:  syntax error, unexpected '{' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\actor\view\frm-index.php on line 68
[08-Aug-2015 14:18:03 Asia/Bangkok] PHP Parse error:  syntax error, unexpected '=' in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\actor\view\frm-index.php on line 82
[08-Aug-2015 14:18:17 Asia/Bangkok] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in C:\xampp_new\htdocs\seangthai\backoffice\backoffice\actor\view\frm-index.php on line 84
