[06-Nov-2015 11:49:39 Asia/Bangkok] PHP Parse error:  syntax error, unexpected '$row2' (T_VARIABLE) in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 20
[06-Nov-2015 11:51:06 Asia/Bangkok] PHP Parse error:  syntax error, unexpected '$row2' (T_VARIABLE) in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 20
[06-Nov-2015 13:15:28 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\Hall.php on line 7
[06-Nov-2015 13:15:35 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\Hall.php on line 7
[06-Nov-2015 13:16:01 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\Hall.php on line 7
[06-Nov-2015 13:16:28 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\Hall.php on line 7
[06-Nov-2015 13:25:09 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\Hall.php on line 7
[06-Nov-2015 13:50:13 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 295
[06-Nov-2015 13:51:24 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 295
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 13:51:43 Asia/Bangkok] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 298
[06-Nov-2015 15:02:43 Asia/Bangkok] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in C:\xampp_new\htdocs\new backoffice\backoffice\backoffice\drugmonograph\view\frm-index.php on line 523
