[13-Jun-2016 09:28:28 Asia/Bangkok] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in D:\xampp\htdocs\Vtiger\insurance\show.php on line 75
[13-Jun-2016 09:28:45 Asia/Bangkok] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in D:\xampp\htdocs\Vtiger\insurance\show.php on line 75
[13-Jun-2016 09:44:03 Asia/Bangkok] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in D:\xampp\htdocs\Vtiger\insurance\show.php on line 75
[13-Jun-2016 11:01:04 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 304
[13-Jun-2016 11:03:22 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 11:07:20 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 11:08:52 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 11:09:08 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 11:09:34 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 11:10:16 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 11:10:51 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 12:16:37 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
[13-Jun-2016 12:16:59 Asia/Bangkok] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\Vtiger\insurance\eventadd.php on line 306
